"filename", "language", "TypeScript", "XML", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/isaiah/Code/logic-gates-toy/src/App.css", "CSS", 0, 0, 0, 37, 0, 8, 45
"/Users/isaiah/Code/logic-gates-toy/src/App.tsx", "TypeScript JSX", 0, 0, 17, 0, 0, 3, 20
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/components/GraphNodeListItem.test.tsx", "TypeScript JSX", 0, 0, 35, 0, 0, 14, 49
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/logic/AndGate.test.ts", "TypeScript", 20, 0, 0, 0, 1, 4, 25
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/logic/ChipDef.test.ts", "TypeScript", 31, 0, 0, 0, 1, 5, 37
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/logic/ComplexCircuit.test.ts", "TypeScript", 28, 0, 0, 0, 1, 5, 34
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/logic/Gate.test.ts", "TypeScript", 66, 0, 0, 0, 3, 21, 90
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/logic/NotGate.test.ts", "TypeScript", 17, 0, 0, 0, 1, 4, 22
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/logic/RelayGate.test.ts", "TypeScript", 17, 0, 0, 0, 1, 4, 22
"/Users/isaiah/Code/logic-gates-toy/src/__tests__/logic/chipSerializer.test.ts", "TypeScript", 294, 0, 0, 0, 13, 42, 349
"/Users/isaiah/Code/logic-gates-toy/src/assets/react.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"/Users/isaiah/Code/logic-gates-toy/src/components/GraphContainer.tsx", "TypeScript JSX", 0, 0, 51, 0, 5, 8, 64
"/Users/isaiah/Code/logic-gates-toy/src/components/GraphInputReceiver.tsx", "TypeScript JSX", 0, 0, 108, 0, 9, 32, 149
"/Users/isaiah/Code/logic-gates-toy/src/components/GraphNode.tsx", "TypeScript JSX", 0, 0, 120, 0, 1, 26, 147
"/Users/isaiah/Code/logic-gates-toy/src/components/GraphNodeListItem.tsx", "TypeScript JSX", 0, 0, 32, 0, 3, 7, 42
"/Users/isaiah/Code/logic-gates-toy/src/components/NodeDisplay.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 4, 22
"/Users/isaiah/Code/logic-gates-toy/src/components/NodeSelector.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 3, 18
"/Users/isaiah/Code/logic-gates-toy/src/components/debug/DebugInfo.tsx", "TypeScript JSX", 0, 0, 15, 0, 0, 3, 18
"/Users/isaiah/Code/logic-gates-toy/src/components/debug/GraphDebugContainer.tsx", "TypeScript JSX", 0, 0, 8, 0, 0, 2, 10
"/Users/isaiah/Code/logic-gates-toy/src/components/debug/GraphEdgesDebug.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 5, 33
"/Users/isaiah/Code/logic-gates-toy/src/components/debug/UiStateInfo.tsx", "TypeScript JSX", 0, 0, 27, 0, 0, 5, 32
"/Users/isaiah/Code/logic-gates-toy/src/components/svg/SvgGraph.tsx", "TypeScript JSX", 0, 0, 20, 0, 3, 3, 26
"/Users/isaiah/Code/logic-gates-toy/src/components/svg/SvgGraphEdges.tsx", "TypeScript JSX", 0, 0, 28, 0, 0, 5, 33
"/Users/isaiah/Code/logic-gates-toy/src/components/svg/SvgMouseLinePreview.tsx", "TypeScript JSX", 0, 0, 55, 0, 4, 16, 75
"/Users/isaiah/Code/logic-gates-toy/src/flowchart/Vec2.ts", "TypeScript", 42, 0, 0, 0, 0, 8, 50
"/Users/isaiah/Code/logic-gates-toy/src/flowchart/graph.ts", "TypeScript", 38, 0, 0, 0, 11, 12, 61
"/Users/isaiah/Code/logic-gates-toy/src/flowchart/graphStore.ts", "TypeScript", 57, 0, 0, 0, 11, 13, 81
"/Users/isaiah/Code/logic-gates-toy/src/hooks/useClientRect.ts", "TypeScript", 23, 0, 0, 0, 4, 7, 34
"/Users/isaiah/Code/logic-gates-toy/src/hooks/useDraggable.ts", "TypeScript", 80, 0, 0, 0, 35, 24, 139
"/Users/isaiah/Code/logic-gates-toy/src/hooks/useMouseMove.ts", "TypeScript", 17, 0, 0, 0, 0, 6, 23
"/Users/isaiah/Code/logic-gates-toy/src/index.css", "CSS", 0, 0, 0, 61, 0, 12, 73
"/Users/isaiah/Code/logic-gates-toy/src/logic/AndGate.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"/Users/isaiah/Code/logic-gates-toy/src/logic/Chip.ts", "TypeScript", 14, 0, 0, 0, 0, 3, 17
"/Users/isaiah/Code/logic-gates-toy/src/logic/ChipDef.ts", "TypeScript", 100, 0, 0, 0, 22, 17, 139
"/Users/isaiah/Code/logic-gates-toy/src/logic/ComplexChip.ts", "TypeScript", 30, 0, 0, 0, 0, 8, 38
"/Users/isaiah/Code/logic-gates-toy/src/logic/Gate.ts", "TypeScript", 46, 0, 0, 0, 1, 14, 61
"/Users/isaiah/Code/logic-gates-toy/src/logic/GateNodeTemplates.ts", "TypeScript", 89, 0, 0, 0, 1, 8, 98
"/Users/isaiah/Code/logic-gates-toy/src/logic/NotGate.ts", "TypeScript", 10, 0, 0, 0, 0, 3, 13
"/Users/isaiah/Code/logic-gates-toy/src/logic/RelayGate.ts", "TypeScript", 11, 0, 0, 0, 0, 3, 14
"/Users/isaiah/Code/logic-gates-toy/src/logic/chipSerializer.ts", "TypeScript", 99, 0, 0, 0, 13, 24, 136
"/Users/isaiah/Code/logic-gates-toy/src/main.tsx", "TypeScript JSX", 0, 0, 9, 0, 0, 2, 11
"/Users/isaiah/Code/logic-gates-toy/src/state_management/uiStore.ts", "TypeScript", 114, 0, 0, 0, 24, 29, 167
